Unnamed: 0,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95,date
2022.9562,0.0001397599298819,-31.0157702783437,31.0160497982034,-47.4346012658185,47.4348807856782,2022-12-10
2022.9589,8.9832949108616e-05,-31.0158202122789,31.0159998781772,-47.4346512034352,47.4348308693334,2022-12-11
2022.9616,5.77415769483709e-05,-31.0158523065243,31.0159677896782,-47.4346832992016,47.4347987823555,2022-12-12
2022.9644,3.71143298929504e-05,-31.0158729349585,31.0159471636183,-47.4347039282641,47.4347781569239,2022-12-13
2022.9671,2.38558341530063e-05,-31.0158861939447,31.015933905613,-47.43471718751,47.4347648991783,2022-12-14
2022.9699,1.53337221708228e-05,-31.0158947162593,31.0159253837036,-47.4347257099318,47.4347563773762,2022-12-15
2022.9726,9.85599724189328e-06,-31.0159001940679,31.0159199060624,-47.4347311877848,47.4347508997793,2022-12-16
2022.9753,6.33510119400406e-06,-31.0159037149985,31.0159163852009,-47.4347347087337,47.4347473789361,2022-12-17
2022.9781,3.00000407198847,-28.0159059781255,34.0159141221025,-44.4347369718683,50.4347451158452,2022-12-18
2022.9808,2.6173362665996e-06,-31.0159074327837,31.0159126674562,-47.4347384265295,47.4347436612021,2022-12-19
2022.9836,1.68233509960876e-06,-31.0159083677873,31.0159117324575,-47.4347393615344,47.4347427262046,2022-12-20
2022.9863,1.08134801968479e-06,-31.0159089687753,31.0159111314714,-47.434739962523,47.4347421252191,2022-12-21
2022.989,6.95053880421902e-07,-31.0159093550699,31.0159107451777,-47.4347403488178,47.4347417389256,2022-12-22
2022.9918,1.50000044675709,-29.5159096033669,32.515910496881,-45.9347405971149,48.9347414906291,2022-12-23
2022.9945,2.87160326161043e-07,-31.0159097629637,31.0159103372844,-47.4347407567117,47.4347413310324,2022-12-24
2022.9973,11.4000001845769,-19.6159098655471,42.415910234701,-36.0347408592952,58.834741228449,2022-12-25
2023.0,0.5000001186398,-30.5159099314843,31.5159101687639,-46.9347409252323,47.9347411625119,2022-12-26
2023.0027,3.00000007625765,-28.0159099738664,34.0159101263817,-44.4347409676145,50.4347411201298,2022-12-27
2023.0055,4.90158311929303e-08,-31.0159100011082,31.0159100991399,-47.4347409948563,47.434741092888,2022-12-28
2023.0082,3.15057160718175e-08,-31.0159100186184,31.0159100816298,-47.4347410123664,47.4347410753779,2022-12-29
2023.011,2.02508071584096e-08,-31.0159100298733,31.0159100703749,-47.4347410236213,47.434741064123,2022-12-30
2023.0137,1.30165330767028e-08,-31.0159100371075,31.0159100631406,-47.4347410308556,47.4347410568887,2022-12-31
2023.0164,8.3665865522981e-09,-31.0159100417575,31.0159100584907,-47.4347410355056,47.4347410522387,2023-01-01
2023.0192,5.377758407537161e-09,-31.0159100447463,31.0159100555018,-47.4347410384944,47.4347410492499,2023-01-02
2023.0219,3.4566409946251504e-09,-31.0159100466674,31.0159100535807,-47.4347410404155,47.4347410473288,2023-01-03
2023.0247,2.2218116671344503e-09,-31.0159100479023,31.0159100523459,-47.4347410416503,47.434741046094,2023-01-04
2023.0274,1.42810534854373e-09,-31.015910048696,31.0159100515522,-47.434741042444,47.4347410453003,2023-01-05
2023.0301,9.17937728284416e-10,-31.0159100492061,31.015910051042,-47.4347410429542,47.4347410447901,2023-01-06
2023.0329,5.90019280572951e-10,-31.0159100495341,31.0159100507141,-47.4347410432821,47.4347410444622,2023-01-07
2023.0356,3.79244409460837e-10,-31.0159100497448,31.0159100505033,-47.4347410434929,47.4347410442514,2023-01-08
2023.0384,2.43765461071415e-10,-31.0159100498803,31.0159100503678,-47.4347410436284,47.4347410441159,2023-01-09
2023.0411,1.56684178033874e-10,-31.0159100499674,31.0159100502808,-47.4347410437155,47.4347410440288,2023-01-10
2023.0438,1.00711284636893e-10,-31.0159100500234,31.0159100502248,-47.4347410437714,47.4347410439729,2023-01-11
2023.0466,6.473380237041489e-11,-31.0159100500593,31.0159100501888,-47.4347410438074,47.4347410439369,2023-01-12
2023.0493,4.1608723835291595e-11,-31.0159100500825,31.0159100501657,-47.4347410438305,47.4347410439138,2023-01-13
